target,source,group,long,lat
98weeks Project Space,Setareh Shahbazi,2,NA,NA
Aalborg,Raeda Saadeh,1,9.921747,57.04882
Abbot Hall Art Gallery,Nadia Kaabi-Linke,2,NA,NA
Abdul Hameed Shoman Foundation,Kassab Bachi,2,NA,NA
Abha,Abdulnasser Gharem,1,42.50528,18.21694
Abha,Saud Al-Duribi,1,42.50528,18.21694
Abha,Ahmed Mater,1,42.50528,18.21694
Abraaj Capital,Zoulikha-Bouabdellah,2,NA,NA
Abraaj Capital,Marwan Sahmarani,2,NA,NA
Abraaj Capital,Jananne Al-Ani,2,NA,NA
Abraaj Capital,Wael Shawky,2,NA,NA
Abraaj Capital,Hamra Abbas,2,NA,NA
Abraaj Capital,Nadia Kaabi-Linke,2,NA,NA
Abu Dhabi,Wafa Hourani,1,54.36667,24.46667
Abu Dhabi,Abdullah Al Saadi,1,54.36667,24.46667
Abu Dhabi,Rachid Koraïchi,1,54.36667,24.46667
Abu Dhabi,Hrair Sarkissian,1,54.36667,24.46667
Abu Dhabi,Samah Hijawi,1,54.36667,24.46667
Abu Dhabi,Reem Al Ghaith,1,54.36667,24.46667
Abu Dhabi,Tarek Al-Ghoussein,1,54.36667,24.46667
Abu Dhabi,Marwa Rustam,1,54.36667,24.46667
Abu Dhabi Film Festival,Rania Attieh,2,NA,NA
Académie des Beaux-Arts,Mohammed Melehi,2,NA,NA
Academy of France,Georges Daoud Corm,2,NA,NA
Adderley,Yusef A. Lateef,1,-2.506347,52.95495
Adham Wanly Museum,Seif Wanly,2,NA,NA
Adham Wanly Museum,Adham Wanly,2,NA,NA
Advertising and Marketing,Waheeda Malullah,2,NA,NA
Afghan,Jayce Salloum,3,NA,NA
Afghanistan,CAMP,1,67.70995,33.93911
Afghanistan,Huda Totonji,1,67.70995,33.93911
Afghanistan,Jayce Salloum,1,67.70995,33.93911
Africa,Yusef A. Lateef,1,34.50852,-8.783195
Africa,Zena el Khalil,1,34.50852,-8.783195
Africa,Kamarstudios ,1,34.50852,-8.783195
Africa,Mouna Karray,1,34.50852,-8.783195
Africa,Rasheed Araeen,1,34.50852,-8.783195
Africa,Zoulikha-Bouabdellah,1,34.50852,-8.783195
Africa,Keith Shiri,1,34.50852,-8.783195
Africa Cultural Centre,Teboho Mahlatsi,2,NA,NA
Africa Media Centre,Keith Shiri,2,NA,NA
Africa Movie Academy,Keith Shiri,2,NA,NA
Africain,Nadia Kaabi-Linke,3,NA,NA
Africain,Driss Ouadahi,3,NA,NA
Agricultural Museum,Ragheb Ayad,2,NA,NA
Agricultural Museum,Ahmad Osman,2,NA,NA
Agricultural Museum,Youssef Kamel,2,NA,NA
Aichi Triennale,Firoz Mahmud,2,NA,NA
Aix-en-Provence,Fayçal Baghriche ,1,5.447427,43.52974
Aix-en-Provence,Marwan Rechmaoui,1,5.447427,43.52974
Ajman,Ammar Al Attar,1,55.4796,25.3995
Aksioma Institute,Wafaa Bilal,2,NA,NA
Al Burda International,Wissam Shawkat,2,NA,NA
Al Karmel Magazine,Khaled Hourani,2,NA,NA
al Kora University,Nasser Al-Salem,2,NA,NA
Al Mansouria Foundation,Taha Al-Sabban,2,NA,NA
Al Mansouria Foundation,Abdullah Hammas,2,NA,NA
Al Mansouriyah Foundation,Athier,2,NA,NA
Al Qattan Foundation,Jawad Al Malhi,2,NA,NA
Al Rayat Music School,Mohammed Kazem,2,NA,NA
Al Riwaq Art Space,Fayçal Baghriche ,2,NA,NA
Al Riwaq Art Space,Mounira Al Solh,2,NA,NA
Al-Mansouria Foundation,Shadia Alem,2,NA,NA
Al-Najah University,Taysir Batniji,2,NA,NA
Al-Quds University,Sliman Mansour,2,NA,NA
Albania,Halil Altindere,1,20.16833,41.15333
Albania,Anri Sala,1,20.16833,41.15333
Albert Museum,Rachid Koraïchi,2,NA,NA
Alberta,Wafaa Bilal,1,-116.5765,53.93327
Aleppo,Daoud Corm,1,37.1473,36.21168
Aleppo,Khaled Akil,1,37.1473,36.21168
Aleppo,Jowhara AlSaud,1,37.1473,36.21168
Aleppo,Ali Jabri,1,37.1473,36.21168
Aleppo,Diana Al Hadid,1,37.1473,36.21168
Alexandria,Adam Henein,1,-77.04692,38.80484
Alexandria,Seif Wanly,1,-77.04692,38.80484
Alexandria,Ahmed Foula,1,-77.04692,38.80484
Alexandria,Moataz Nasr,1,-77.04692,38.80484
Alexandria,Georges Daoud Corm,1,-77.04692,38.80484
Alexandria,Georges Sabbagh,1,-77.04692,38.80484
Alexandria,Hamed Owais,1,-77.04692,38.80484
Alexandria,Wael Shawky,1,-77.04692,38.80484
Alexandria,Hamed Nada,1,-77.04692,38.80484
Alexandria,Ahmad Osman,1,-77.04692,38.80484
Alexandria,Ragheb Ayad,1,-77.04692,38.80484
Alexandria,Mona Marzouk,1,-77.04692,38.80484
Alexandria,Adham Wanly,1,-77.04692,38.80484
Alexandria Contemporary Arts Forum,Mona Marzouk,2,NA,NA
Alger,Driss Ouadahi,1,3.042048,36.75289
Alger,Asad Faulwell,1,3.042048,36.75289
Alger,Nacera Belaza,1,3.042048,36.75289
Algeria,Adel Abdessemed,1,2.492945,27.22573
Algeria,Nida Sinnokrot,1,2.492945,27.22573
Algeria,Rachid Koraïchi,1,2.492945,27.22573
Algeria,Susan Hefuna,1,2.492945,27.22573
Algeria,Driss Ouadahi,1,2.492945,27.22573
Algeria,Fayçal Baghriche ,1,2.492945,27.22573
Algeria,Zineb Sedira,1,2.492945,27.22573
Algeria,Mohamed Bourouissa,1,2.492945,27.22573
Algeria,Djamel Kokene,1,2.492945,27.22573
Algeria,Yazid Oulab,1,2.492945,27.22573
Algeria,Mustapha Benfodil,1,2.492945,27.22573
Algeria,Nacera Belaza,1,2.492945,27.22573
Algerian,Karim Aïnouz,3,NA,NA
Algerian,Mustapha Benfodil,3,NA,NA
Algerian,Asad Faulwell,3,NA,NA
Algerian,Driss Ouadahi,3,NA,NA
Algerian,Rachid Koraïchi,3,NA,NA
Algerian,Abdelkader Benchamma,3,NA,NA
Algiers,Adel Abdessemed,1,3.042048,36.75289
Algiers,Mohamed Bourouissa,1,3.042048,36.75289
Algiers,Djamel Kokene,1,3.042048,36.75289
Algiers,Fayçal Baghriche ,1,3.042048,36.75289
Algiers,Zineb Sedira,1,3.042048,36.75289
Algiers,Yazid Oulab,1,3.042048,36.75289
Algiers,Sharif Waked,1,3.042048,36.75289
Algiers,Mouna Karray,1,3.042048,36.75289
Algiers,Ammar Bouras,1,3.042048,36.75289
Algiers,Susan Hefuna,1,3.042048,36.75289
Algiers,Nadia Kaabi-Linke,1,3.042048,36.75289
Algiers,Rachid Koraïchi,1,3.042048,36.75289
Algiers,Amina Menia,1,3.042048,36.75289
Algiers,Farid Belkahia,1,3.042048,36.75289
America,Abdul Ghafur Sheikh,1,-95.71289,37.09024
America,Jowhara Al-Saud ,1,-95.71289,37.09024
America,Naeem Mohaiemen,1,-95.71289,37.09024
America,Melik Ohanian,1,-95.71289,37.09024
America,Darvish Fakhr,1,-95.71289,37.09024
America,Yusef A. Lateef,1,-95.71289,37.09024
America,Ahmed El Attar,1,-95.71289,37.09024
American,Darvish Fakhr,3,NA,NA
American,Nida Sinnokrot,3,NA,NA
American,Ala Ebtekar,3,NA,NA
American,Maha Malluh,3,NA,NA
American,Abdullah Nawawi,3,NA,NA
American,Tarek Halaby,3,NA,NA
American,Yusef A. Lateef,3,NA,NA
American,Nil Yalter,3,NA,NA
American,Naeem Mohaiemen,3,NA,NA
American,Georges Daoud Corm,3,NA,NA
American,Ghada Khunji,3,NA,NA
American,Omar Berrada,3,NA,NA
American,Jenine Sharabi,3,NA,NA
American,Jowhara Al-Saud ,3,NA,NA
American,Abdelfattah Kilito,3,NA,NA
American,Sean Gullette,3,NA,NA
American,Alan Bishop,3,NA,NA
American,Saud Al-Duribi,3,NA,NA
Amherst College,Ziad Abillama,2,NA,NA
Amman,Saba Innab,1,35.9457,31.95658
Amman,Mohanna Durra,1,35.9457,31.95658
Amman,Fahrelnissa Zeid,1,35.9457,31.95658
Amman,Walid Siti,1,35.9457,31.95658
Amman,Doa Aly,1,35.9457,31.95658
Amman,Hrair Sarkissian,1,35.9457,31.95658
Amman,Hafidh al-Droubi,1,35.9457,31.95658
Amman,Rula Halawani,1,35.9457,31.95658
Amman,Ismail al-Shaikhly,1,35.9457,31.95658
Amman,Samah Hijawi,1,35.9457,31.95658
Amman,Athier,1,35.9457,31.95658
Amman,Ziad Dalloul,1,35.9457,31.95658
Amman,Basim Magdy ,1,35.9457,31.95658
Amman,Oraib Toukan,1,35.9457,31.95658
Amman,Jumana Emil Abboud,1,35.9457,31.95658
Amman,Ali Jabri,1,35.9457,31.95658
Amman,Jananne Al-Ani,1,35.9457,31.95658
Amman,Khalid al-Jader,1,35.9457,31.95658
Amman,Mohammed Ghani Hikmat,1,35.9457,31.95658
Amman,Adel Abidin,1,35.9457,31.95658
Amman,Mona Saudi,1,35.9457,31.95658
Amman,Pascal Hachem,1,35.9457,31.95658
Amman Museum of Modern Art,Youssef Abdelkė,2,NA,NA
Amnesty International,Başak Ertür,2,NA,NA
Amsterdam,Raed Yassin,1,4.895168,52.37022
Amsterdam,Sophie Ernst,1,4.895168,52.37022
Amsterdam,Rabih Mroué,1,4.895168,52.37022
Amsterdam,Adam Henein,1,4.895168,52.37022
Amsterdam,Aisha Khalid,1,4.895168,52.37022
Amsterdam,Samah Hijawi,1,4.895168,52.37022
Amsterdam,Hrair Sarkissian,1,4.895168,52.37022
Amsterdam,Manal Dowayan,1,4.895168,52.37022
Amsterdam,Tarek Atoui,1,4.895168,52.37022
Amsterdam,Jilali Gharbaoui,1,4.895168,52.37022
Amsterdam,Ayşe Erkmen,1,4.895168,52.37022
Amsterdam,Amar Kanwar,1,4.895168,52.37022
Amsterdam,Hala Elkoussy,1,4.895168,52.37022
Amsterdam,Firoz Mahmud,1,4.895168,52.37022
Amsterdam,Yto Barrada,1,4.895168,52.37022
Amsterdam,Runa Islam,1,4.895168,52.37022
Amsterdam,Mounira Al Solh,1,4.895168,52.37022
Amsterdam,Eva Meyer-Keller,1,4.895168,52.37022
Amsterdam,Ayman Ramadan,1,4.895168,52.37022
Amsterdam,Cevdet Erek,1,4.895168,52.37022
AND Galeria,Abdelkader Benchamma,2,NA,NA
Ankara,Fahrelnissa Zeid,1,32.85411,39.92077
Ankara,Ismail al-Shaikhly,1,32.85411,39.92077
Ankara,Yazid Oulab,1,32.85411,39.92077
Ankara,:mentalKLINIK,1,32.85411,39.92077
Ankara,Aras Özgün,1,32.85411,39.92077
Antwerp,Lawrence Abu Hamdan ,1,4.402464,51.21945
Antwerp,Hrair Sarkissian,1,4.402464,51.21945
Antwerp,Almagul Menlibayeva,1,4.402464,51.21945
Antwerp,N.S. Harsha,1,4.402464,51.21945
Antwerp,David Claerbout,1,4.402464,51.21945
Apeejay Media,Sophie Ernst,2,NA,NA
Aperture Foundation (New York),Youssef Nabil,2,NA,NA
Arab Image Foundation,Setareh Shahbazi,2,NA,NA
Arab Image Foundation,Akram Zaatari,2,NA,NA
Arab Image Foundation,Fouad Elkoury,2,NA,NA
Arab Image Foundation,Walid Raad,2,NA,NA
Arab Image Foundation,Lara Baladi,2,NA,NA
Arab Museum of Modern Art,Adel Abidin,2,NA,NA
Arab Museum of Modern Art,Seif Wanly,2,NA,NA
Arab Museum of Modern Art,Youssef Kamel,2,NA,NA
Arab Museum of Modern Art,Ahmed Alsoudani,2,NA,NA
Arab Museum of Modern Art,Ahmad Osman,2,NA,NA
Arab Museum of Modern Art,Wafaa Bilal,2,NA,NA
Arab Museum of Modern Art,Suad Al Attar,2,NA,NA
Arab Museum of Modern Art,Inji Efflatoun,2,NA,NA
Arab Museum of Modern Art,Gamal el-Sigini,2,NA,NA
Arab Museum of Modern Art,Khalid al-Jader,2,NA,NA
Arab Museum of Modern Art,Ragheb Ayad,2,NA,NA
Arab Museum of Modern Art,Hamed Nada,2,NA,NA
Arab Museum of Modern Art,Zineb Sedira,2,NA,NA
Arab Museum of Modern Art,Adham Wanly,2,NA,NA
Arab Museum of Modern Art,Ismail al-Shaikhly,2,NA,NA
Arab Museum of Modern Art,Adam Henein,2,NA,NA
Arab Museum of Modern Art,Georges Sabbagh,2,NA,NA
Arab Museum of Modern Art,Fahrelnissa Zeid,2,NA,NA
Arab Museum of Modern Art,Hamed Owais,2,NA,NA
Arab Museum of Modern Art,Hafidh al-Droubi,2,NA,NA
Arab World Institute,Youssef Abdelkė,2,NA,NA
Aramco,EFFAT ABDULLAH FADAG,1,49.67582,25.94306
Architectural Association School of Architecture,Sophia Al Maria,2,NA,NA
Architecture- Jordan University of Science,Saba Innab,2,NA,NA
Argentina,Khaled Sabsabi,1,-63.61667,-38.4161
Argos,Melik Ohanian,2,NA,NA
Argos,Doa Aly,2,NA,NA
Argos,Jalal Toufic,2,NA,NA
Argos,Ayreen Anastas,2,NA,NA
Arizona,Sama Alshaibi,1,-111.0937,34.04893
Arizona State University,Wafaa Bilal,2,NA,NA
Arizona State University Art Museum,Mounira Al Solh,2,NA,NA
Armed Forces Club,Ahmad Osman,2,NA,NA
Armory Center,Sherin Guirguis,2,NA,NA
Arnolfini,Hala Elkoussy,2,NA,NA
Arnolfini,Lawrence Abu Hamdan ,2,NA,NA
Arnolfini Museum,Doa Aly,2,NA,NA
Art Council of Finland,Adel Abidin,2,NA,NA
Art Dubai,Murtaza Vali,2,NA,NA
Art Dubai,Marwan Sahmarani,2,NA,NA
Art Dubai,Idris Khan,2,NA,NA
Art Dubai,Nadia Ayari,2,NA,NA
Art Dubai,Fatima Al Qadiri,2,NA,NA
Art Dubai,Saddiek Mohammed Wasil,2,NA,NA
Art Dubai,Shaikha Al Mazrou,2,NA,NA
Art Dubai,Iman Issa,2,NA,NA
Art Dubai,Wafaa Bilal,2,NA,NA
Art Dubai,Khalid Al Gharaballi,2,NA,NA
Art Institute of Chicago,Shirin Neshat,2,NA,NA
Art Institute of Chicago,Işıl Eğrikavuk,2,NA,NA
Art School Palestine,Samah Hijawi,2,NA,NA
Art University of Tehran,Javad Azimi,2,NA,NA
Arts and Cultural Management,Ahmed El Attar,2,NA,NA
Arts Council of England,Rasheed Araeen,2,NA,NA
Arts Village,Abdulnasser Gharem,1,NA,NA
Artsonje Center,Wafaa Bilal,2,NA,NA
Asar Gallery,Setareh Shahbazi,2,NA,NA
Asia,Shafic Abboud,1,100.6197,34.04786
Asia,Laurent Grasso,1,100.6197,34.04786
Asia,Basir Mahmood ,1,100.6197,34.04786
Asia,Cevdet Erek,1,100.6197,34.04786
Asia,CAMP,1,100.6197,34.04786
Asia,Sophie Ernst,1,100.6197,34.04786
Asia,Wafaa Bilal,1,100.6197,34.04786
Asia,Raqs Media Collective,1,100.6197,34.04786
Asia Society,Nicky Nodjoumi,2,NA,NA
Asia Society Museum,Ala Ebtekar,2,NA,NA
Asia Society Museum,Hamra Abbas,2,NA,NA
Asian Art Museum,Pouran-Jinchi,2,NA,NA
Asian Art Museum,Ala Ebtekar,2,NA,NA
Asian Cultural Council,Firoz Mahmud,2,NA,NA
Assila Museum,Mona Saudi,2,NA,NA
Aswan,Adham Wanly,1,32.89983,24.08894
Aswan,Seif Wanly,1,32.89983,24.08894
Aswan,Ahmad Osman,1,32.89983,24.08894
Aswan International,Adam Henein,2,NA,NA
Atelier d’Art Abstrait,Saloua Raouda Choucair,2,NA,NA
Athens,Jalal Toufic,1,23.72936,37.98392
Athens,Haris Epaminonda,1,23.72936,37.98392
Athens,René Gabri,1,23.72936,37.98392
Athens,Jenine Sharabi,1,23.72936,37.98392
Athens,Hrair Sarkissian,1,23.72936,37.98392
Athr Gallery,Saddiek Mohammed Wasil,2,NA,NA
Atlanta,Nabil Nahas,1,-84.38798,33.749
Atlanta,Abdullah Al-Mazrook,1,-84.38798,33.749
Atlas Group,Walid Raad,2,NA,NA
Atlas Mountains,Jilali Gharbaoui,1,-2,32
Austin,Nida Sinnokrot,1,-97.74306,30.26715
Australia,Susan Hefuna,1,133.7751,-25.2744
Australia,Raeda Saadeh,1,133.7751,-25.2744
Australia,Simryn Gill,1,133.7751,-25.2744
Australia,Jayce Salloum,1,133.7751,-25.2744
Australia,Sharif Waked,1,133.7751,-25.2744
Australia,Aras Özgün,1,133.7751,-25.2744
Australia,Runa Islam,1,133.7751,-25.2744
Australia,Robert MacPherson,1,133.7751,-25.2744
Australia,Cevdet Erek,1,133.7751,-25.2744
Australia,Shahzia Sikander,1,133.7751,-25.2744
Australia,Basir Mahmood ,1,133.7751,-25.2744
Australia,Khaled Sabsabi,1,133.7751,-25.2744
Australia,Moataz Nasr,1,133.7751,-25.2744
Australia,Adel Abidin,1,133.7751,-25.2744
Australia,Raafat Ishak,1,133.7751,-25.2744
Australia,Zena el Khalil,1,133.7751,-25.2744
Australia,Rasheed Araeen,1,133.7751,-25.2744
Australia,Jananne Al-Ani,1,133.7751,-25.2744
Austria,Raeda Saadeh,1,14.55007,47.51623
Austria,Walid Siti,1,14.55007,47.51623
Austria,Susan Hefuna,1,14.55007,47.51623
Austria,Rashid Masharawi,1,14.55007,47.51623
Austria,Runa Islam,1,14.55007,47.51623
Austria,Khaled Jarrar,1,14.55007,47.51623
Austria,mounir fatmi,1,14.55007,47.51623
Austria,Erin Ellen Kelly,1,14.55007,47.51623
Austria,Nida Sinnokrot,1,14.55007,47.51623
Austria,Basim Magdy ,1,14.55007,47.51623
Austria,Nevin Aladag,1,14.55007,47.51623
Austria,Wafaa Bilal,1,14.55007,47.51623
Austria,Walid Raad,1,14.55007,47.51623
Austria,David Claerbout,1,14.55007,47.51623
Austrian,Rashid Masharawi,3,NA,NA
Austrian,Wafaa Bilal,3,NA,NA
Automobile Club,Youssef Kamel,2,NA,NA
Avant-garde Folk Music Club,Raffie Davtian,2,NA,NA
Ayyam Gallery,Youssef Abdelkė,2,NA,NA
Ayyam Gallery,Athier,2,NA,NA
Azad University,Golnaz Fathi,2,NA,NA
Azad University,Ahmad Morshedloo,2,NA,NA
Azad University,Farshid Maleki,2,NA,NA
Azad University,Elnaz Farajollahi,2,NA,NA
Azad University,Simin Keramati,2,NA,NA
Azad University,Aneh Mohammad Tatari,2,NA,NA
Azad University,Peyman Hooshmandzadeh,2,NA,NA
Azad University,Negin Ganjavi,2,NA,NA
Azerbaijan,Hamra Abbas,1,47.57693,40.1431
Babusch Project,Hamra Abbas,2,NA,NA
Babusch Project,Sophie Ernst,2,NA,NA
BAC,Rabih Mroué,2,NA,NA
Baghdad,Hafidh al-Droubi,1,44.422,33.325
Baghdad,Walid Siti,1,44.422,33.325
Baghdad,Farid Belkahia,1,44.422,33.325
Baghdad,Khalid al-Jader,1,44.422,33.325
Baghdad,Dia Al-Azzawi ,1,44.422,33.325
Baghdad,Wissam Shawkat,1,44.422,33.325
Baghdad,Hassan Massoudy,1,44.422,33.325
Baghdad,Abdul Qadir al-Rassam,1,44.422,33.325
Baghdad,Ahmed Alsoudani,1,44.422,33.325
Baghdad,Samira Badran,1,44.422,33.325
Baghdad,Mohammed Melehi,1,44.422,33.325
Baghdad,Ismail al-Shaikhly,1,44.422,33.325
Baghdad,Suad Al Attar,1,44.422,33.325
Baghdad,Mohammed Ghani Hikmat,1,44.422,33.325
Baghdad,Hayv Kahraman,1,44.422,33.325
Baghdad,Jamal Al Kebasi,1,44.422,33.325
Baghdad,Jalal Toufic,1,44.422,33.325
Baghdad,Atta Sabri,1,44.422,33.325
Baghdad,Salim al-Dabbagh,1,44.422,33.325
Baghdad,Adel Abidin,1,44.422,33.325
Baghdad,Faiq Hassan,1,44.422,33.325
Baghdad Group of Modern Art,Mohammed Ghani Hikmat,2,NA,NA
Baghdad Institute of Fine Art,Mohammed Ghani Hikmat,2,NA,NA
Baghdad University,Khalid al-Jader,2,NA,NA
Baghdad University,Hafidh al-Droubi,2,NA,NA
Baghdad University,Dia Al-Azzawi ,2,NA,NA
Bahçesehir University,Meriç Algün Ringborg ,2,NA,NA
Bahrain,Marwa Rustam,1,50.5577,26.0667
Bahrain,Waheeda Malullah,1,50.5577,26.0667
Bahrain,Zahra Bu Ali,1,50.5577,26.0667
Bahrain,Jenine Sharabi,1,50.5577,26.0667
Bahrain,Shadia Alem,1,50.5577,26.0667
Bahrain,Lantian Xie,1,50.5577,26.0667
Bahrain,Fayçal Baghriche ,1,50.5577,26.0667
Bahrain,Faisal Samra,1,50.5577,26.0667
Bahrain Art Society,Zaman M Jassim,2,NA,NA
Bahrain National Museum,Jumana Emil Abboud,2,NA,NA
Bahrain University,Waheeda Malullah,2,NA,NA
Bahraini,Ghada Khunji,3,NA,NA
Baku,Hamra Abbas,1,49.86709,40.40926
Balfaqih Visual Communication Consultants,Saeed Salem,2,NA,NA
BALTIC Centre,Mona Marzouk,2,NA,NA
BALTIC Centre,Raqs Media Collective,2,NA,NA
BALTIC Centre,Youssef Nabil,2,NA,NA
Baltimore,Raed Yassin,1,-76.61219,39.29038
Baltimore,Amir H. Fallah,1,-76.61219,39.29038
Bamako,Susan Hefuna,1,-8,12.65
Bamako,Youssef Nabil,1,-8,12.65
Bamako,Ismaïl Bahri,1,-8,12.65
Bamako,Mohamed Bourouissa,1,-8,12.65
Bamako,Maha Maamoun,1,-8,12.65
Bamako,Mouna Karray,1,-8,12.65
Bangkok,Ninar Esber,1,100.5018,13.75633
Barbican,Sulayman Al Bassam,1,-0.093889,51.51917
Barbican Centre,Khaled Jarrar,2,NA,NA
Barbican Centre,Reza Aramesh,2,NA,NA
Barcelona,Samira Badran,1,2.173404,41.38506
Barcelona,Youssef Nabil,1,2.173404,41.38506
Barcelona,Latifa Echakhch,1,2.173404,41.38506
Barcelona,Magdi Mostafa,1,2.173404,41.38506
Barcelona,Vartan Avakian,1,2.173404,41.38506
Barcelona,Gamal el-Sigini,1,2.173404,41.38506
Barcelona,Abdelkader Benchamma,1,2.173404,41.38506
Bard College,Oraib Toukan,2,NA,NA
Bard College,Nida Sinnokrot,2,NA,NA
Bari,Yasam Sasmazer,1,16.87187,41.11714
Barjeel Foundation,Adel Abidin,2,NA,NA
Barjeel Foundation,Walid Siti,2,NA,NA
Barjeel Foundation,Larissa Sansour,2,NA,NA
Barjeel Foundation,Tarek Al-Ghoussein,2,NA,NA
Barjeel Foundation,Manal Al Dowayan,2,NA,NA
Barjeel Foundation,Mona Saudi,2,NA,NA
Barjeel Foundation,Sharif Waked,2,NA,NA
Basra,Wissam Shawkat,1,47.81667,30.5
Basra,Sama Alshaibi,1,47.81667,30.5
Batha Museum of Fes,Farid Belkahia,2,NA,NA
Batna,Adel Abdessemed,1,6.166667,35.55
Baton Rouge,Nabil Nahas,2,NA,NA
Batroun Projects,Lawrence Abu Hamdan ,2,NA,NA
BBC,Zena el Khalil,2,NA,NA
Beaconhouse National University,Sophie Ernst,2,NA,NA
Beaconhouse National University,Basir Mahmood ,2,NA,NA
Beaumont,Ahmed Cherkaoui,1,-94.12656,30.08017
Beaver Group,René Gabri,2,NA,NA
Beaver Group,Ayreen Anastas,2,NA,NA
Bedouin,Shadia Alem,1,4.977876,44.36005
Beijing,Fayçal Baghriche ,1,116.4074,39.90421
Beijing,Erin Ellen Kelly,1,116.4074,39.90421
Beijing,Ahmad Morshedloo,1,116.4074,39.90421
Beijing,Moataz Nasr,1,116.4074,39.90421
Beijing,Mariam Ghani,1,116.4074,39.90421
Beirut,Walid Raad,1,35.49548,33.88863
Beirut,Lawrence Abu Hamdan ,1,35.49548,33.88863
Beirut,Noura Bouzo,1,35.49548,33.88863
Beirut,Fouad Elkoury,1,35.49548,33.88863
Beirut,CAMP,1,35.49548,33.88863
Beirut,Simone Fattal,1,35.49548,33.88863
Beirut,Kameel Hawa,1,35.49548,33.88863
Beirut,Gilbert Hage,1,35.49548,33.88863
Beirut,Maha Maamoun,1,35.49548,33.88863
Beirut,Marwan Rechmaoui,1,35.49548,33.88863
Beirut,Ayman Baalbaki,1,35.49548,33.88863
Beirut,Daoud Corm,1,35.49548,33.88863
Beirut,Ayreen Anastas,1,35.49548,33.88863
Beirut,Nabil Nahas,1,35.49548,33.88863
Beirut,Basma Al Sharif,1,35.49548,33.88863
Beirut,Joana Hadjithomas ,1,35.49548,33.88863
Beirut,Rasha Salti,1,35.49548,33.88863
Beirut,Mounira Al Solh,1,35.49548,33.88863
Beirut,Zena el Khalil,1,35.49548,33.88863
Beirut,Sirine Fattouh,1,35.49548,33.88863
Beirut,Mohamed Abdelkarim,1,35.49548,33.88863
Beirut,Ahmed Mater,1,35.49548,33.88863
Beirut,Raed Yassin,1,35.49548,33.88863
Beirut,Khalil Joreige,1,35.49548,33.88863
Beirut,Tanbak,1,35.49548,33.88863
Beirut,Ashkan Sepahvand,1,35.49548,33.88863
Beirut,Mona Saudi,1,35.49548,33.88863
Beirut,Samer Omran,1,35.49548,33.88863
Beirut,Setareh Shahbazi,1,35.49548,33.88863
Beirut,Georges Daoud Corm,1,35.49548,33.88863
Beirut,Omar Rajeh,1,35.49548,33.88863
Beirut,Lara Baladi,1,35.49548,33.88863
Beirut,Samiah Khashoggi,1,35.49548,33.88863
Beirut,Samir Sayegh,1,35.49548,33.88863
Beirut,Akram Zaatari,1,35.49548,33.88863
Beirut,Saloua Raouda Choucair,1,35.49548,33.88863
Beirut,Tony Chakar,1,35.49548,33.88863
Beirut,Jalal Toufic,1,35.49548,33.88863
Beirut,Mona Hatoum,1,35.49548,33.88863
Beirut,César Gemayel,1,35.49548,33.88863
Beirut,Pascal Hachem,1,35.49548,33.88863
Beirut,Joana Hadjithomas and Khalil Joreige,1,35.49548,33.88863
Beirut,Rabih Mroué,1,35.49548,33.88863
Beirut,Shafic Abboud,1,35.49548,33.88863
Beirut,Atfal Ahdath,1,35.49548,33.88863
Beirut,Youssef Abdelkė,1,35.49548,33.88863
Beirut,Sherif El Azma,1,35.49548,33.88863
Beirut,Athier,1,35.49548,33.88863
Beirut,Mohammed Ghani Hikmat,1,35.49548,33.88863
Beirut,Marwan Sahmarani,1,35.49548,33.88863
Beirut,Vartan Avakian,1,35.49548,33.88863
Beirut,Ninar Esber,1,35.49548,33.88863
Beirut,Jorge Tacla,1,35.49548,33.88863
Beirut,Lamia Joreige,1,35.49548,33.88863
Beirut Arab University,Khaled Akil,2,NA,NA
Beirut Art Center,Ayreen Anastas,2,NA,NA
Beirut Art Center,Sirine Fattouh,2,NA,NA
Beirut Art Center,Doa Aly,2,NA,NA
Beirut Art Center,Jananne Al-Ani,2,NA,NA
Beirut Art Center,René Gabri,2,NA,NA
Beirut Art Center,Jalal Toufic,2,NA,NA
Beirut Art Center,Graziella Rizkallah Toufic,2,NA,NA
Beirut Art Center,Lamia Joreige,2,NA,NA
Beirut Art Center,Melik Ohanian,2,NA,NA
Beirut Art Center,Rabih Mroué,2,NA,NA
Beirut Art Center,Fouad Elkoury,2,NA,NA
Beirut City Centre,Fouad Elkoury,2,NA,NA
Beirut Exhibition Center,Saloua Raouda Choucair,2,NA,NA
Beirut International,Basma Al Sharif,2,NA,NA
Beirut International,Omar Rajeh,2,NA,NA
Beirut International,Ahmad Ghossein,2,NA,NA
Belgium,Nida Sinnokrot,1,4.469936,50.50389
Belgium,Marwan Rechmaoui,1,4.469936,50.50389
Belgium,Tarek Halaby,1,4.469936,50.50389
Belgium,Jalal Toufic,1,4.469936,50.50389
Belgium,David Claerbout,1,4.469936,50.50389
Belgium,Hrair Sarkissian,1,4.469936,50.50389
Belgium,Almagul Menlibayeva,1,4.469936,50.50389
Belgium,Raqs Media Collective,1,4.469936,50.50389
Belgium,Pantea Rahmani,1,4.469936,50.50389
Belgium,Khaled Jarrar,1,4.469936,50.50389
Belgium,Mohamed El Mahdaoui,1,4.469936,50.50389
Belgium,Melik Ohanian,1,4.469936,50.50389
Belgium,Mohamed Bourouissa,1,4.469936,50.50389
