"Name","URL","FirstParagraph"
"Lawrence Abu Hamdan","http://galerinon.com/lawrence-abu-hamdan","London based artist Lawrence Abu Hamdan’s work attempts to measure the contemporary relationship between listening and politics, borders, human rights, testimony, truth and international law, through the production of longer narrative audio documentaries and essays, audio-visual installations, graphic design, sculpture, photography, workshops and performance."
"Marwan Kassab Bachi  /nhttp://www.daratalfunun.org/main/resourc/exhibit/marwan/marwan.html","/nBorn in Damascus, Syria -1934- Lives and works in Berlin.","""Marwan paints images of human beings, very subjective images, never individual portraits. The person portrayed is always exemplary, unique and anonymous all at once. Such images… reveal a crisis of identity, [but] they also expose its contrary: an identity with consciousness and feelings, an identity with the world. Marwan’s paintings question life and ego, touch upon the secret, and circle about it, reflecting it. Emerging in his paintings as a vision – as a""face""- the secret, disappearing, proclaims itself, vanishes. There to be seen, it again withdraws.""/n"
"Meriç Algün Ringborg","http://www.mericalgunringborg.com/bio.html /n","Meriç Algün Ringborg (b.1983, Istanbul) lives and works in Stockholm, Sweden. She received her BA in Visual Arts and Visual Communication Design from Sabanci University, Istanbul (2007) and her MFA from Royal Institute of Art, Stockholm (2012). In her work, she employs a variety of media including printed matter, photography, sound and installation; mainly focusing on the themes of nationality, borders, translation, bureaucracy and home."
"Michael Rakowitz","http://www.lombardfreid.com/michael-rakowitz/ /nMichael Rakowitz (b. 1973, Great Neck, NY) has shown in venues including dOCUMENTA(13), The Museum of Modern Art, MoMA/PS1, MassMOCA, Castello di Rivoli, the 10th Istanbul Biennial, Sharjah Biennial 8, Tirana Biennale, and Transmediale 05. He is the recipient of the 2012 Louis Comfort Tiffany Foundation Biennial Award, a 2008 Creative Capital Grant for a collaboration with Emna Zghal, the Sharjah Biennial Jury Award, a 2006 New York Foundation for the Arts Fellowship Grant in Architecture and Environmental Structures, the 2003 Dena Foundations Award, and the 2002 Design 21 Grand Prix from UNESCO.",NA
"Mohammed Al Ghamdi","http://edgeofarabia.com/artists/mohammed-al-ghamdi","Mohammed Al Ghamdi (b. 1959 in Al Baha) holds a degree in Aviation Engineering from California, USA. His experience with art long precedes his engineering qualifications but drew on it with his knowledge of materials."
"Mona Hatoum","http://www.alexanderandbonin.com/artist/mona-hatoum/biography/nMona Hatoum was born into a Palestinian family in Beirut and has lived and worked in London since 1975. From 1980 – 89 performance and video predominated her work.  She began to exhibit installations and objects in 1989 and her work has been the subject of numerous one-person museum exhibitions in Europe, North America, Asia and Australia, the largest and most comprehensive of which was a survey initiated by the Hamburger Kunsthalle that also traveled to Kunstmuseum Bonn, Magasin 3 Stockholm Konsthall, and the Sydney Museum of Contemporary Art (2004 - 05). Hatoum was Artist-in-Residence on the DAAD program (Berliner Künstlerprogramm, Deutscher Akademischer Austrauschdienst) in 2003-2004 and has since divided her time between Berlin and London.  Significant solo exhibitions of the past five years include Fondazione Querini Stampalia, Venice (2009); Arter, Istanbul and Joan Miró Foundation, Barcelona (both 2011) and Kunstmuseum St. Gallen (2013).  The largest survey of her work to be shown in the Arab world was held at Mathaf: Arab Museum of Modern Art, Doha (2014).  In December, Hatoum’s first solo museum exhibition in South America opens at the Pinacoteca do Estado de São Paulo and travels to Fundación PROA, Buenos Aires in March, 2015. A survey exhibition organized by Centre Pompidou will open in Paris in June 2015 and travel to additional European venues in 2016./n",NA
"Mona Marzouk","http://gypsumgallery.com/biomonamarzouk//nMona Marzouk was born in 1968 and lives and works in Alexandria, Egypt. After finishing her studies at the Academy of Fine Arts in Düsseldorf, Germany, in 1996, Marzouk returned to her hometown of Alexandria, Egypt, to launch her professional career in painting and sculpture. Selected solo exhibitions include The Bride Stripped Bare of her Energy's Evil, BALTIC Centre for Contemporary Art, Gateshead, UK (2008); The New World, Art in General, New York and Townhouse Gallery, Cairo; MUSAC, León, Spain (2006). Selected group exhibitions include Havana Biennial (2012); Second World: Where is Progress Progressing, Steirischer Herbst, Graz, curated by What, How & for Whom / WHW (2011); 8th Gwanju Biennale, curated by Okwui Enwezor (2008); 1st Canary Islands Biennale, Spain (2006). From 2005 to 2013, Marzouk co-founded and co-directed the artist-run space Alexandria Contemporary Arts Forum in Egypt.",NA
"Nil Yalter","http://www.galerist.com.tr/en/artist/nil-yalter/biography//nNil Yalter (born 1938, Cairo), a pioneer in the French feminist art movement of the 1970s was educated at Robert College, the prestigious American secondary educational institution in Istanbul. Yalter  has lived in Paris since 1965. She participated in the French counter culture and revolutionary political movement of the late 1960s, immersing herself in the debate around gender, migrant workers from Turkey, and other issues of the time.  She also experimented in different media including drawing, photography, video, and performance art.  She was a member of Fighting Women, a group of women artists who were active from 1976 to 1980.  Her earliest feminist work, A Nomad’s Tent, a Study of Private, Public, and Feminine Spaces dates from 1973. The Headless Woman or the Belly Dance, 1974,is a classic of early feminist art.   In 1978, she mounted a performance and installation acting out everyday life in a harem using a few pieces of furniture and utensils as part of  A Day of Actions, held in the studio of one of the other members of the collectif. The video of that day was recently found in 2011 when art historian, Fabienne Dumont, was working on a book about Nil Yalter. It was digitized by the French National Library and is one of the few videos of the French feminist art movement in the 1970s. One of Yalter’s interests in Shamanism; she has created two videos, Lord Byron Meets the Shaman Woman, 2009, as well as a previously unviewed video from 1979, Shaman. This last work employs shaman masks from Paris’s ethnographic Musée de l’Homme, and reflects her resistance to the appropriation by museums in the West. She has had many solo exhibitions including several at theMuseum of Modern Art of Paris, starting in 1973 and coming up to the present time.  Her work was included in the influential WACK! exhibition in the United States which traveled from the Los Angeles Museum of Contemporary Art to the National Museum of Women in the Arts, Washington, DC, the Museum of Modern Art PS1 galleries, and the Contemporary Art Center, Vancouver, Canada. Her sculptures, videos, and installations are in the permanent collections of the Tate Modern, the Istanbul Modern, Centre Pompidou and the Fonds national d’art contemporain among others.",NA
"Panos Tsagaris","http://biennale4.thessalonikibiennale.gr/content/panos-tsagaris /nb. 1979, Athens, Greece","Lives and works in New York. Tsagaris received his BFA from the Emily Carr Institute of Art & Design in Vancouver, Canada. Through his work Tsagaris aims to express the emanation of the “divine” as it is reflected through the beauty and poetry of the everyday, in order to bring himself and the viewer closer to a state of catharsis. Ultimately, Tsagaris’ work selflessly captures and reflects the divine spark that exists in the human soul. He has exhibited extensively in Miami, New York, Vancouver, Athens, Berlin, Milan, Paris and Hong Kong. Recent solo show: Clothed with the Sun, Kalfayan Galleries, Athens (2012). Recent group shows and performances include, among others: Picatrix: Davide Balliano & Panos Tsagaris, Galerie Michel Rein, Paris (2013) • THE GARDEN OF EDEN – EVIL – Near-Far, Palais de Tokyo, Paris (2012) • Gold, Imperial Belvedere Palace Museum, Vienna (2012) • The Quality of Presence, Chelsea Hotel, New York (2012) • OU.UN.PO. Symposium, archaeological site of Elefsina, Greece (2011) • The West at Sunset, Abrons Arts Center, New York (2010) • 2nd Thessaloniki Biennale – Performance Festival (Panos Tsagaris: Drawings and Performance titled: The Mystic Death of the Kiss) (2009). Panos Tsagaris is represented by Kalfayan Galleries, Athens – Thessaloniki./n"
"Raed Yassin","http://www.raedyassin.com/bio","Raed Yassin was born in Beirut in 1979. He graduated from the theatre department at the Institute of Fine Arts in Beirut in 2003. An artist and musician, Yassin's work often originates from an examination of his personal narratives and their workings within a collective history, through the lens of consumer culture and mass production. He has exhibited and performed his work in numerous museums, festivals and venues across Europe, the Middle East, the United States and Japan,Yassin was awarded the Fidus Prize (2009), the Abraaj Capital Art Prize (2012), the AFAC grant for production (2010), the YATF grant for production (2008 & 2012) and the Cultural Resource grant for production (2008). Yassin is one of the organizers of IRTIJAL Festival, and has released several music albums and founded the production company Annihaya in 2009. He is also a founding member of""Atfal Ahdath""a Beirut based art collective. He currently lives and works in Beirut and represented by Kalfayan Galleries (Athens–Thessaloniki)./n/n"
"Saba Innab","http://www.zaragallery.org/content/ArtistDetails.aspx?a_id=147/nSaba Innab is an artist and architect whose work is concerned with urbanism and processes of space production and re-production. Born in 1980, acquired a bachelor’s degree in Architecture- Jordan University of Science and Technology- 2004./nHer architectural practice in Amman- Jordan landed her recently in reconstruction of Nahr el Bared Camp. Saba's artistic practice is very much influenced by her architectural work and her examination of cities and places. In the past 7 years she has been part of regional and international exhibitions, art residencies and workshops./nIn her new exhibition, Saba Innab moves us with a new experience of forms which seem familiar, yet equally unreasonable in configuration, reminding us of an architectural building in ruins or of a dysfunctional internal structure of human civilizations, all based on something of an illusion.",""
"Saloua Raouda Choucair","http://www.tate.org.uk/context-comment/articles/life-work-choucair/nSaloua Raouda Choucair is one of the most respected living artists in Lebanon, though her work is little known outside of her home country./nShe was born in Beirut in 1916. She learnt to draw and paint under the tutelage of Omar Onsi and Moustafa Farroukh, prominent Lebanese artists who adopted impressionist and realist styles. A trip to Egypt in 1943 sparked her passion for Islamic art and architecture and her conviction – despite the beliefs of her tutors – that Arab artists ‘reached into the essence of the subject, stripping it of all the associated with art since the time of the Greeks until the end of the 19th century.’/nAt the end of the 1940s Choucair spent three important years in Paris where she absorbed the current themes, trends and philosophies of European modernism. Though she was a student at the École des Beaux-Arts and attended the studio of the master Fernand Léger, Choucair found like-minded individuals at the Atelier d’Art Abstrait, a group of artists committed to the pursuit of abstract or non-objective art. The exhibition at Tate Modern begins with a group of vibrant gouache paintings from this period, showing the artist’s experiments with repeated, modular forms inspired by her love of geometry and mathematics.","Saloua Raouda Choucair Infinite Structure 1963-5/nSaloua Raouda Choucair"
"Setareh Shahbazi","http://gypsumgallery.com/bio-setarehshahbazi//nSetareh Shahbazi was born in Tehran in 1978 and moved to Germany in 1985. From 1997 to 2003 she studied Scenography and Media Arts at the State Academy for Art and Design in Karlsruhe. Her solo exhibitions were held at Karlsruher Kunstverein (2004); Galerie Sfeir-Semler, Hamburg and Montgomery, Berlin (2006); Contemporary Arts Forum, St. Barbara (2008) and 98weeks Project Space, Beirut (2010). Her group shows include When It Starts Dripping from the Ceiling, Kadist, Paris, curated by Bassam El Baroni (2012); Jostari dar Salighe va Ehsass, Asar Gallery, Tehran (2010); Whenever it starts, it isn’t the right time!,Frankfurter Kunstverein, Frankfurt, curated by Chus Martinez (2007); Rainbow at Galerie Sfeir-Semler, Beirut; J’en rêve at Fondation Cartier, Paris (2005) and Iranian Pool, Rooseum, Malmö, curated by Chus Martinez (2003). A one-year Daad postgraduate residency brought her to Beirut for the first time in 2003 to collaborate with the Arab Image Foundation. She has further been invited for residencies at Townhouse Gallery, Cairo (2005) and Villa Romana, Florence (guest artist 2011). Shahbazi received a publication grant from Stiftung Kunstfonds, Bonn for her artist book Spectral Days (2011) and her catalogue Oh, no, no, ... – The Crystal Series was awarded The Most Beautiful Swiss Books (2005). Setareh Shahbazi lives and works in Berlin and Beirut and travels regularly to Iran.",NA
"Shafic Abboud","http://www.claude-lemand.com/artiste/shafic-abboud-2?souspage=bio","Born in 1926 in Lebanon, Shafic Abboud is one of the foremost Arab artists of the 20th century. His paintings are a manifesto for freedom, colour, light and joy, as well as being a permanent bridge between the art scenes of France and Lebanon and that of Europe and the Middle East. Both Lebanese and Parisian, he was very attached to Lebanon, to its landscapes, its light and his own childhood memories. He was from a Lebanese Arab Modern culture. The stories of his grandmother, who was the village’s story-teller, left an indelible mark on him, at a very early age. He was familiar with the paintings of the travelling story-tellers. The artist’s eye was also strongly influenced by Byzantine icons and traditions from his church. The writings, debates, ideals, hopes and battles characterising the Arab Nahda, a modernist and anti-clerical Renaissance which was initially driven by Arab and Lebanese writers, were to later have a significant impact on Abboud’s intellectual education."
"Susan Hefuna","http://www.piartworks.com/english/sanatcilar_det1.php?recordID=Susan%20HEFUNA/n1962, Germany","Susan Hefuna’s practice incorporates drawing, sculpture, video and photography as well as ambitious participatory installations and workshops. At the core of this is her fascination with the networks and structures of connection that inhabit public spaces and become the framework for peoples’ interactions with each other as well as how these networks become visible through – amongst other things – cultural customs, architectural models and city planning. Structures and networks are not just concepts that Hefuna explores as subject matter but are also deployed in a more literal sense as mechanisms within her creative process. Within her recent drawings, inspired by these networks, Hefuna creates grids of connected dots with ink and pencil on multiple layers of tracing paper. These lattices are not created through strict predetermined systems but, rather, are intuitively composed and open to change and subversion. The outcomes evoke embroidery and tapestry, but also molecular structures, maps, cityscapes, or, as with much of her work, the intricacies of the traditional wooden mashrabiya screens of Cairo."
"Tanbak","http://www.beirutexhibitioncenter.com/learn/artist/tanbak","Born and raised in Beirut, Tanbak left her native country at the age of eighteen to study Spanish literature in Madrid and international relations at Georgetown University in Washington, D.C. She later settled in Paris, and is now based in Beirut."
"Wafaa Bilal","http://www.lawrieshabibi.com/artists/70-Wafaa-Bilal/overview/","Known internationally for his on-line performative and interactive works, Bilal's thought provoking works deal with international politics and internal dynamics often using his body as the canvas.  His most recent and provocative work 3rdi involved surgically implanting a camera on the back of his head to spontaneously transmit images to the web 24 hours a day - a statement on surveillance, the mundane and the things we leave behind. Bilal's 2010 work""....And Counting""similarly used his own body as a medium. His back was tattooed with a map of Iraq and dots representing Iraqi and US casualties - the Iraqis in invisible ink seen only under a black light. Bilal's 2007 installation, Domestic Tension, also addressed the Iraq war. Bilal spent a month in a Chicago gallery as the target of a paintball gun that people could shoot at him over the internet."
"Yazan Khalili","http://edgeofarabia.com/artists/yazan-khalili","Born in 1981, Yazan Khalili lives and works in Palestine. Khalili received a degree in architecture from Birzeit University and graduated with a Masters degree from the Centre for Research Architecture at Goldsmiths College, London."
"index","http://www.thearmoryshow.com/exhibitors/focus_menam.html",""
"Amirhossein Radaie","http://www.artclvb.com/artist/amirhossein-radaie","Amirhossein Radaie was born in Hamadan, Iran, in 1986. Using certain forms and shapes of the human body, along with various objects, Radaie strives to portray the inner feelings of not only his subjects, but his audiences as well. Even though the outfits which adorn his sculptures belong to the Qajar era, they are ever-relevant, representing the inability of people to determine their destinies, and their lack of rights. These people, according to the artist, can only fulfill their aspirations in the confines of their imagination."
"Hazar Bogary","http://www.artclvb.com/artist/hazar-bogary","Hazar Bogary, an artist strongly influenced by the surrealists, creates narrative, conceptual, and digital images of individuals and their surroundings. Originally from Saudi Arabia, Hazar resides in Vancouver, and holds a Bachelor’s degree in Commercial Art and Graphic Design from Central Missouri State University, as well as a diploma in Professional Digital Photography from VanArts. Hazar started her career in advertising as a graphic designer, and later began working as a conceptual art director. Her works have earned her numerous awards, and have been exhibited both in her native Saudi Arabia as well as internationally."
"Hojat Amani","http://www.artclvb.com/artist/hojat-amani","Hojatollah Amani was born in Lorestan, Iran, in 1978. Having grown up in a large family, Hojat rarely had the time to pursue his artistic interests, and struggled to express himself creatively. However, things changed for the young artist when he pursued a degree in painting at the University of Fine Arts in Esfahan, and later, a Master of Fine Arts from Tehran University."
"Janet Hagopian","http://www.artclvb.com/artist/janet-hagobian","The experience of being caught in three cultures not wholly different, and yet not the same, dominates my creative work. Each of my pieces offers a glimpse into the social and religious realities that shape my identity, and those of the Armenian women living in the Middle East. In my work, I pay a great deal of attention to the structures of forms, shapes, and colours, which create the inhabitable space that begins to resemble stories and life experiences behind the composition. The idea is to allow viewers to detach themselves from notions of normality, and question their reason for existence. These shapes symbolise the idea of isolation conferred by this perspective.My pieces are composed of various layers that convey the concept of the painting. My imagination explores and displays shape variations in order to communicate strong compositions. Painting such shapes are challenging, but viewing them allows audiences to observe without feeling any restrictions or constraints."
"Khaled Akil","http://www.artclvb.com/artist/khaled-akil","Born in Aleppo, Khaled is a self-taught Syrian photographer among the top emerging talents in his country. Focusing primarily on social, political, and sexual issues abound in the Middle East, Khaled aims to portray the 'contradictions' inherent therein, in 'a way that is acceptable to the general public'. Undoubtedly, holding a Bachelor's degree in Law and Political Science from the Beirut Arab University has enabled Khaled to further flesh out his artistic expressions of these contradictions and social issues which he observes on a daily basis. It has been his unique perspective, coupled with his undeniable talent as a photographer and artist that has garnered Khaled acclaim from his critics, and awarded him success at all his exhibitions thus far."
"Leila Fatemi","http://www.artclvb.com/artist/leila-fatemi","Leila Fatemi is a Toronto-based photographer of Iranian, German, and Indian descent. Currently completing her B.F.A. in Photography at Ryerson University, Leila is influenced by her own life experience and understandings as a visual artist living between cultures. Her work results from personal reflections as well as the attempt to create a better understanding and appreciation for Islamic culture and its foundations. Through the perspective of a practicing Muslim artist, she strives to create thought-provoking work that allows viewers to look at alternative perspectives of Islamic traditions."
"Mehran Mesbah","http://www.artclvb.com/artist/mehran-mesbah","Mehran Mesbah was born in 1980 and resides in Sacramento, California. Like many Iranians at the time, Mehran’s family left Tehran in 1978 seeking a better future in California. After studying abroad in Canada and France, Mehran received his B.A. in painting from Walla Walla University, and later, a M.A. in Studio Art from California State University, Sacramento where he now teaches drawing."
"Mostafa Choobtarash","http://www.artclvb.com/artist/mostafa-choobtarash","Mostafa Choobtarash was born in 1983 in Tehran, Iran. He holds both Bachelor and Masters degrees in painting from the Azad and Soureh Universities of Tehran. Mostafa’s work has been extensively exhibited in Iran since 2004, visiting a wide variety of galleries. Choobtarash’s work has a similar approach to graffiti art with traits such as sharp criticism, protest, humour and even destruction. The main theme of his paintings give one the impression that all the depicted historical, political and social characters, events, elements and symbols, have been attacked by a humorous blow, relieving the audience from their heavy load and allowing them to see the scenes in a comical manner."
"Negin Ganjavi","http://www.artclvb.com/artist/negin-ganjavi","Negin Ganjavi was born in Iran in 1982, and obtained a B.A. in painting from Tehran’s Azad University in 2005. Having participated in solo and group exhibitions around the world, Negin has worked in the fields of painting, photography, sculpture, performance art, as well as caricature. Influenced by Persian poets such as Omar Khayyam and Hafez, as well as Mesopotamian culture and mythology Negin’s highly personal work focuses on identity and self-discovery."
"Rania Moudaress","http://www.artclvb.com/artist/rania-moudaress","Born in Damascus in 1981, Rania Moudaress graduated from the École Supérieure des Arts et Mode in Paris as well as from the Paris American Academy of Fashion and Art. She also holds a degree from the Higher Institute of Drama and Music in Damascus. Apart from being a visual artist, Moudaress is also a costume and graphic designer. She participated in several collective exhibitions and held a solo exhibition at the Fateh Moudaress Atelier. Her work explores the link between womanhood and nature, and the gap between dreams and reality. Her artworks are characterized by lines delicately constructed and the use of natural elements mixed with human faces or body parts."
"Saad Bin Mohammed","http://www.artclvb.com/artist/saad-bin-mohammed","Saad Bin Mohammed was born in Jeddah in 1969. Saad's paintings - the result of a tumultuous journey of self-discovery and exploration - are what he describes as 'the essence of the Creator incarnate in creation'. As Saad admits, all his works are 'recreations of what already exists'. However, with his singular style and approach, he is able to create depictions of his turbulent inner emotions and feelings that are totally unique. 'All I am aware of is a turbulent struggle; a journey, that, as soon as it's anywhere near ending, starts all over again', says Saad. Though throughout his career Saad has been influenced by myriad artists, he attests that he doesn't 'follow' anyone; and, likewise, Saad is not an artist who wants to be 'followed', either. As Saad himself notes, 'I raise the white flag and surrender to what's within me, so it can emerge naturally without obstructing its due course. That is me. No one is to judge - they should only embrace or reject'."
"Simin Keramati","http://www.artclvb.com/artist/simin-keramati","Simin Keramati was born in Tehran in 1970, where she received a B.A. in English Translation from Azad University (where she serves as a member of the Faculty of Art and Architecture) and an M.A. in Fine Art from the University of Art. Simin's work focuses on the Self and that which 'evolves' within it, as well as the 'inner' and 'outer' experiences of women."
"Zeynab Movahed","http://www.artclvb.com/artist/zeynab-movahed","Woman … isolation … daily routines …  repetition … a silent protest and a strip of bark from a tree wrapped around every layer of her life from which escape is now impossible; and a head, whose face and thoughts are worthless  … it is only her body that is visible … the cycle is endless …"
"Abdelkader Benchamma","http://edgeofarabia.com/artists/abdelkader-benchamma","Abdelkader Benchamma was born in 1975 in France to Algerian parents. He graduated from the École Supérieure des Beaux Arts de Paris in 2003. Benchamma was part of the 2009 Printemps de Septembre in Toulouse, curated by Christian Bernard, and Told Untold Retold at the Mathaf Museum, Qatar. In April 2011, his solo show, Dark Matter, was held at the Galerie du Jour. Abdelkader Benchamma is represented by Galerie du Jour Agnes B., Paris, and AND Galeria, Barcelona. "
"Abdullah Al-Othman","http://edgeofarabia.com/artists/abdullah-al-othman","Born 1985 in Riyadh, Saudi Arabia"
"Abdulnasser Gharem","http://edgeofarabia.com/artists/abdulnasser-gharem","Born in 1973 in the Saudi Arabian city of Khamis Mushait,currently lives and works in Riyadh. In 1992 Gharem graduated from the King Abdulaziz Academy before attending The Leader Institute in Riyadh. In 2003 he studied at the influential Al- Meftaha Arts Village in Abha and in 2004 Gharem and the Al-Meftaha artists staged a group exhibition, Shattah, which challenged existing modes of art practice in Saudi Arabia. Since then Gharem has exhibited in Europe, the Gulf and the USA, including at Martin Gropius-Bau and at the Venice, Sharjah & Berlin Biennales. He recently made history when his installation Message/Messenger sold for a world record price at auction in Dubai, establishing Gharem as the highest selling living Gulf artist. Gharem donated the proceeds of this sale to Edge of Arabia to foster art education in his native country. His first monograph ‘Abdulnasser Gharem: Art of Survival’ was published in London in October 2011."
"Ahaad Alamoudi","http://edgeofarabia.com/artists/ahaad-alamoudi","Born in Jeddah in 1991, Ahaad’s love for art was evident from a young age; her mother an artist and art teacher, Ahaad was always surrounded by artworks and art materials. She moved to England and that broadened her view and appreciation for art, and the world. She loves how people could express themselves with different media and affect people’s mindsets and lives. This is what motivated her to continue perusing art when she returned to Saudi Arabia. Ahaad is currently studying Visual Communication at Dar Al Hekma, hoping to continue studying art and expressing herself through it."
"Ahmad Angawi","http://edgeofarabia.com/artists/ahmad-angawi","Ahmad Angawi, being of Meccan roots, is inspired by the colourful diversity of the culture of Hejaz. His works revolve around the human condition while also paying homage to both culture and the environment. His approach is inspired mainly by Islamic principles rather than the Islamic aesthetic. Influenced by his Father, Architect Dr. Sami Angawi, he has adopted the concept of “Al Mizan in design”, which is the belief in the fundamental principle of balance, as a state of mind, as well as the belief in its application in the field of design."
