Name,FirstParagraph
Khalil Rabah,"Khalil Rabah has participated in several group exhibitions around the world, as well as several biennials, including the Sao Paulo, Sydney, Kwangju, Istanbul, Liverpool and Venice biennials. His works include United States of Palestine Airlines (2007), 50.320 Names (2007) and most recently, Biproduct, shown at Mathaf, Doha (2010). He has also taught architecture at Birzeit University and Fine Arts at Bezalel Academy, Jerusalem. Rabah is founder of The Palestinian Museum of Natural History and Humankind, and co-founder of Al-Ma’mal Foundation for Contemporary Art, Jerusalem and ArtSchool Palestine, London. He is director of the Riwaq Biennial. He lives between New York, London and Ramallah."
Lúcia  Koch,"b. Porto Alegre, Brazil, 1966"
Laleh Khorramian,"Laleh Khorramian’s work takes theater and the spectacle as its point of departure, to explore aspects of human nature and emotional states of consciousness, and the possibilities of drawing as a medium. Her work combines animation and drawing in order to capture and emphasizes particular stages of the art-making process. These animations look to cinema in its juxtaposition of moving image and sounds. They look to drawing and printmaking for the possibilities of chance accidents, the manipulation of found material, and the mark of the human trace."
Lamia Joreige,"Born in Lebanon in 1972, Lamia Joreige is a visual artist and filmmaker who lives and works in Beirut. She earned her BFA in Painting and Filmmaking from the Rhode Island School of Design, Providence, in 1995. She uses archival documents and elements of fiction to reflect on history and its possible narration, and the relation between individual stories and collective memory. Her practice is rooted in her country’s experience and explores the possibilities of representation of the Lebanese wars and their aftermath, particularly in Beirut, a city at the center of her imagery. Lamia Joreige's work essentially centers on Time: the recording of time, of its trace and its effects on us, underlining the process of memory and the impossibility of accessing a complete narrative."
Lamia Joreige,"Born in Lebanon in 1972, Lamia Joreige is a visual artist and filmmaker who lives and works in Beirut. She earned her BFA in Painting and Filmmaking from the Rhode Island School of Design, Providence, in 1995. She uses archival documents and elements of fiction to reflect on history and its possible narration, and the relation between individual stories and collective memory. Her practice is rooted in her country’s experience and explores the possibilities of representation of the Lebanese wars and their aftermath, particularly in Beirut, a city at the center of her imagery. Lamia Joreige's work essentially centers on Time: the recording of time, of its trace and its effects on us, underlining the process of memory and the impossibility of accessing a complete narrative. Joreige has written, directed and produced work ranging from short videos to multimedia installations and documentaries while, her practice tends to incite viewers’ active participation, adding a further level of engagement to the layers of subjective histories typically addressed in her work. Joreige is also the author of two publications Time and the Other and Ici et peut-être ailleurs, and has contributed to numerous publications and panels. She is also part of the Edgware Road project organized by the Serpentine gallery in London, and is a co-founder of the Beirut Art Center, a non-profit space dedicated to contemporary art in Lebanon. The artist’s work has been presented in prominent global institutions including the Sharjah Biennial; Venice Biennale; Goteborg Biennial; SFMOMA, San Francisco; The New Museum, New York; The Tate Modern, London; Centre Pompidou, Paris, France; Mori Art Museum, Tokyo; Mathaf, Doha; National Museum and Art Center Reina Sofia, Madrid; International Center of Photography, New York; Museum of Contemporary Art, Roskilde, Denmark; Haus der Kulturen der Welt, Berlin; Nicéphore Niépce Museum, France; Townhouse gallery, Egypt."
Lamia Joreige,"The work of Lebanese artist Lamia Joreige is rooted in her country’s experience and explores the representation of wars and their aftermath, particularly in Beirut, a city at the centre of her imagery."
Lamya Gargash,"Lamya Gargash graduated from the American University of Sharjah in 2004, followed by a Masters degree in Arts in Communication Design from Saint Martins in the UK in 2007. She has won a number of awards for her work in film and photography. In 2004, she received first prize in the Emirates Film Festival, as well as the Ibdaa Special Jury Award for her movie titled Wet Tiles. Lamya’s first artist book, Presence, is a photographic series which documents recently vacated houses and structures in the United Arab Emirates that have been abandoned or left for demolition."
Lamya Gargash,"In her photographic works, Lamya Gargash explores interiors as a framework for revealing issues of culture and identity in the UAE, set within the context of rapid external change."
Lani Maestro,"Lani Maestro has used a range of media including installation, sound, video, books and text to create work that explores the often complex dualities of human experience and the physical power of the natural world."
Lantian Xie,Lantian Xie was born in China and raised between Bahrain and the United Arab Emirates. He is a graduate of the MFA program at the School of the Art Institute of Chicago and a recipient of the Sheikha Manal Young Artist Award of the United Arab Emirates. Xie's works are allegories for statelessness.
Lara Baladi,"Egyptian-Lebanese artist Lara Baladi was born in Beirut, raised in Paris and educated in London. She has lived and worked in Cairo since 1997."
Lara Baladi,"Baladi is internationally recognised for an expansive body of work that crafts physical and psychological environments for audiences, a process that simultaneously creates a context and an experience. Baladi applies investigations of myths, archives and personal narratives to multiple expressions and a range of mediums that include performance, architectural installations, photography, collage, tapestry, perfume and sculpture, often culminating in a monumental conclusion. Works that have emerged out of such trajectories include Don’t Touch Me Tomatoes & Chachacha for an exhibition curated by Hervé Mikaeloff and commissioned by Dior (Paris, Grand Palais, 2013), Oum el Donia (The Mother of the World) commissioned by Fondation Cartier pour l’Art Contemporain (Paris, 2000) for the exhibition Desert, as well as Roba Vecchia (Ragman), a life-sized kaleidoscope first exhibited at the Townhouse Gallery of Contemporary Art  (Cairo 2006). Qabr al Zaman (The Tomb of Time) commissioned by Mathaf: Arab Museum of Modern Art (Qatar 2010) became the final expression for Diary of the Future. Her work Borg el Amal (Tower of Hope), an ephemeral construction and sound installation, won the Grand Nile Award at the 2008/2009 Cairo Biennale. In 2012 she collaborated with the Kiev Kamera Orchestra to perform the Donkey Symphony, Borg el Amal’s sound component, at the first Kiev Biennial. In 2003, she received a fellowship from the Japan Foundation to pursue research in Tokyo, and in 2010, took part in the VASL residency program in Karachi, Pakistan to research representations of paradise in popular iconography. Within her artistic practice, Baladi is active in socially engaged projects. She has been a member of the Arab Image Foundation since its creation in 1997. She curated several projects including the artist residency Fenenin el Rehal (Nomadic Artists) in the Libyan Desert in 2006. During the 2011 Egyptian uprising, Baladi accumulated a massive digital archive of found videos, photographs and press articles that documented the events on the ground and around the world. The artist co-founded two media initiatives in Tahrir Square as a result of these archives: Radio Tahrir and Tahrir Cinema. The growing archive has resulted in a series of works that propose a meaningful reading of chaos (including Alone, Together…In Media Res and Don’t Touch Me Tomatoes & Chachacha). Today, Baladi is developing the project Archiving a Revolution in the Digital Age. Born from the wealth of content generated on and about the Egyptian revolution, this collaboration with universities and cultural institutions, and under the umbrella of the Arab Image Foundation, will map archives of the Egyptian revolution and create a portal to make them accessible to the public. Her works can be found in a number of institutional and private collections including Fondation LVMH, Mathaf: Arab Museum of Modern Art (Qatar), Bulgari (Italy), Chase Collection (New York), Fondation Cartier pour l'Art Contemporain (Paris), Kamel Lazaar Foundation (Tunisia), Pori Museum (Finland), among others."
Lara Baladi,"Born in 1969 in Lebanon of Lebanese and Egyptian parents, Lara Baladi lived in Beirut, Paris and London before settling in Cairo in 1997. Drawing from the shifting borders of her identity, the artist has developed her work along her journeys and through the accumulation of images and photographs. In these installations, collages or video works, the visuals mix and recreate a hybrid universe where mythological references and symbolic systems meet, simultaneously borrowing from the Islamic heritage, Egyptian iconography and the popular or middle-class imagery. They illustrate the passage of time - the memory of the past, the trace of the present, the vision of the future - according to the personal anthropology of the artist who draws her inspiration from dreams and imagination."
Lara Favaretto,Italian artist Lara Favaretto provokes and engages her audiences with work that is both playful and celebratory while paradoxically evoking the inevitability of failure and decay.
Larissa Sansour,"Born in 1973 in Jerusalem to a Palestinian father and a Russian mother, Sansour studied Fine Arts in Copenhagen, where she currenlty lives and works."
Larissa Sansour,"Larissa Sansour produces work inspired by cult movies, television series and even cartoon strips, and as an artist is unafraid to plunder widely from popular culture. She mixes Spaghetti Westerns, science fiction and horror films with real life political events, related to the Palestinian situation or more generally the Middle East. By looking at a geopolitics over-burdened with conflicts, tensions and dramas, she fictionalizes situations in order to dismantle clichés or ethnic and social stereotypes. Working in video but also in installation, photography and books, she creates pieces imbued with a certain humour and with a critical aspect firmly entrenched in the contemporary sphere. Larissa Sansour also plays a curatorial role through video programming."
Latifa  Echakhch,"b. 1974, El Khansa, Morocco"
Laurent Grasso,"The work of Laurent Grasso has developed from his fascination with electromagnetic energy, radio waves, light, sound, paranormal activity and naturally occurring scientific phenomena."
Lawrence Abu Hamdan,"London based artist Lawrence Abu Hamdan’s work attempts to measure the contemporary relationship between listening and politics, borders, human rights, testimony, truth and international law, through the production of longer narrative audio documentaries and essays, audio-visual installations, graphic design, sculpture, photography, workshops and performance."
Lawrence Weiner,Art is the empirical fact of the relationships of objects to objects in relation to human beings and not dependant upon historical precedent for either use or legitimacy.
Lee Kit,"Lee Kit (b. 1978, Hong Kong SAR) lives and works in Hong Kong. Solo exhibitions of his work include Lee Kit: Henry (Have you ever been this low?), Western Front, Vancouver (2011). His work has also been included in many group shows, including The Ungovernables, the New Museum Triennial, New York (2012); Popping Up, Hong Kong Art Centre (2010); Exhibition Experiment, Experimental Exhibition, JCCAC’s Wrong Place, Hong Kong (2010); No Soul For Sale, Tate Modern, London (2010); 2009 Platform in Kimusa, Seoul; and Portrait of Self Exile, The Shop/ Vitamin Creative Space, Beijing (2009)."
Leila Fatemi,"Leila Fatemi is a Toronto-based photographer of Iranian, German, and Indian descent. Currently completing her B.F.A. in Photography at Ryerson University, Leila is influenced by her own life experience and understandings as a visual artist living between cultures. Her work results from personal reflections as well as the attempt to create a better understanding and appreciation for Islamic culture and its foundations. Through the perspective of a practicing Muslim artist, she strives to create thought-provoking work that allows viewers to look at alternative perspectives of Islamic traditions."
Leila Pazooki,"Continuously commuting between the worlds of Iran and Europe, Leila Pazooki mainly explores the concept of „borders“. Working with digital media, video and image editing, Pazooki began her early research by experimenting with visual modifications, challenging the „borders“ of visual work in terms of „acceptabillity“; the „licit“ and the“ illicit“ images."
Lili Dujourie,"Since the late 1960s Lili Dujourie has explored a wide range of media including video, sculpture, photography and installation. Her collected video works (1972-1981) are considered seminal feminist works."
Liliana Porter,"Liliana Porter uses a whimsical collection of toys and figurines of animals and people to populate work that, with wit and a wry sense of humour, offers a metaphor of the human condition."
"Lina Gazzaz,","Lina Gazzaz, who was raised in the holy city of Makkah, was a creative consultant in advertising, who ventured on defining a new style of Islamic art by painting it herself. To show loyalty and admiration for the prophet Muhammad, this is what she aims for in her paintings of his mosque in Madinah. They were exhibited in Jeddah's International Fine Arts Hall in 2008. Gazzaz is said have made them with 'broad strokes of love and reverence.' Apart from this important mosque and other buildings she paints portraits and figures and even adventured into painting a reclining female 'kind of' nude, which, for the lack of feet or a full head, would fit nicely in any program the Louvre might have to show Michaelangelo's Slaves in a warm Arabian bed."
Liu Wei,"Liu Wei works with a range of media and styles to trace recurrent themes in his practice to personal experience, memory and the realities of a rapidly changing China."
Lize Mogel,"Lize Mogel is an interdisciplinary artist who works with the interstices between art and cultural geography. She creates and disseminates counter-cartography - maps and mappings that produce new understandings of social and political issues. Her recent projects rethink popular representations of a world shaped by global economies. She has participated in exhibitions at PS1, New York City, Casco, Utrecht, the Gwangju Biennial, South Korea, and the touring exhibition Experimental Geography."
Luc  Sante,"Luc Sante has been a writer for almost three decades. His books include Folk Photography (2009), Kill All Your Darlings: Pieces 1990-2005 (2007), Walker Evans (1999), The Factory of Facts (1998), Evidence (1992) and Low Life (1991). He has written extensively about US cultural life and regularly contributes to the New York Review of Books. Awards include a Guggenheim Fellowship (1992-93), an American Academy of Arts and Letters Award (1997), a Grammy (1998) and an Infinity Award, International Center of Photography (2010). He lives in New York and teaches writing and the history of photography at Bard College."
Lulwah Al-Homoud,"Lulwah Al-Homoud is designing a new path from the roots of our earliest thinking to the present and, who knows, the end or a final idea. She does so without talking and without the help of preachers or diplomats. She simply uses mathematics, Islamic mathematics and mathematics which were there already, to recalculate the essential words of creation. 'She calls it The Language of Existence,' somebody wrote, so it is, if she did so. Its alphabet exists of the 99 most beautiful names of Allah, which Al-Homoud is 'deconstructing and recallibrating' into patterns reminicent of Islamic geometry. The new patterns interestingly include, from the moment of the first human cell devision, all brothers born before and after Abraham. So we see, believe and calculate her work."
Luz Maria  Bedoya,"b. 1969, Talara, Peru Lives and works in Lima, Peru"
Lynn Love,"Lynn Love has been writing about science and art for 15 years, and is based in New York City. In 2010 she launched the science and culture project, hergenius.org."
Maalem Abdelkébir  Merchane,"Maalem Abdelkébir Merchane was born in 1951 in Marrakech. He began studying the art of gnaoui at the age of 9 and participated in many lilas at a very young age. His masters, Mohamed El Ayachi Bakbou Sam and Hmida Boussou initiated him into the purest form of the tagnaouite tradition, and his current style includes Marsaoui and Marrakech. He has participated in many international festivals in Europe, in numerous Arab countries, in Japan, India and elsewhere, and has released numerous records. He has played with several well-known musicians including Mokhtar Samba, Jean Philippe Rykiel, Karim Ziad and others. Merchane now leads Ouled Sidi H’Mou group, which is one of the great messengers of the Gnawa art worldwide. Founded in 1970, Ouled Sidi H’Mou is a popular music group of Moroccan Gnawa in Marrakech, consisting of 8 musicians. They are based in Marrakech."
Magdi Mostafa,"b. 1982, Tanta, Egypt"
Maha Al-Khalawi,"Maha Al-Khalawi (1982)is a name you will find on a card sent to you because of Ramadan or other days of Islamic obligation and celebration. She is a graphic designer connected to the world in the Khatt Foundation network for Arabic Typography. There she also posted a cartoon, which she made as a freshman, showing four moments in a day of an average Saudi man. After work, traffic jams, behind a pick-up truck with sheep, and avoiding wife and children, the man relaxes among other men with waterpipe, stories and cards. There is also an icon she made of herself, wearing sunglasses, in a grafitti stenciling workshop. The grafitti stencil is only the second selfportrait, by a Saudi living in Saudi Arabia, which I discovered. The other being that of Dia Aziz Dia. More of Al-Khalawi's work can be seen on the Khatt network and she is there because simply:""I love design. I find Arabic and Bilingual design even more facinating.""An 'Eid Mubarak' card she designed for Oasis Magazine arrived today on this editor's desk. (October 3, 2009)"
Maha Maamoun,"Working primarily with the mediums of photography and video, Maha Maamoun often starts from generic visual representations of Cairo to explore how these intersect with, and are negotiated by, personal experiences."
Maha Malluh,"Maha Malluh is a Saudi artist, born in the traditional region of Najd, who explores the challenges of modernity that have come so overwhelmingly to Saudi Arabia. She has exhibited since 1976 and has in later years acquired a BA in English literature and a Californian certificate in design and photography."
Maha Malluh,"Maha Malluh is an artist, born from the traditional region of Najd, who has met the challenges of modernity that have come so overwhelmingly to Saudi Arabia. She has exhibited her art since 1976 and has in later years acquired a BA in English literature and a Californian certificate in design and photography."
Mahdi Al Jeraibi,"Mahdi Al Jeraibi (1969) works as an art teacher in Mecca where children write and scratch, but hardly draw on their school desks. Really, I wondered: who or what for 25 years made these children not mix rabbits and automobiles with their doodle writing and daydream scratching? It is what we should do: wonder and ask. It is the artist who wants us to. About the school desks which he collected and presented as readymades for the audience to place on a wall. 'ALL WERE HERE,' it read about the desks and note that the exhibition was in Jeddah and not in Mecca. The artist wants dialogue about our memories. He presumes we can do so in a Socratic manner, disagreeing and convincing each other, using points of reference which work for us all. He wants us to explain and argue about traces of our past, which he simply picks up from the floor or out of the school's backyard. In a way he wants us to go back in time as if we were to cut off our hair; and then he will collect it and remind us that we will grow it back again, unable to change its colour or substance. It changes only slowly with the passing of generations. So is there no point in painting it for any future? Actually there is. Dark haired people who paint their hair blond, lure their partner's blond hair genes into changing direction. So I read somewhere in a scientific paper. In the end the dialectic argument aims to convince. But on the rational level, in the educated world, in the world of Mahdi Al-Jeraibi, in the world of Saudi Arabia's first conceptual artist, we should be optimistic about the potential of art to achieve faster results. Convincing in Al Jeraibi's Mecca is possible on, well, a moments notice, simply by listening and allowing yourself to be convinced. Of his art perhaps. Of his sombre Zincographs which are as far removed from golden palms in Dubai hotels as one can possibly imagine. They are of the moon, rather than of the sun - there is no real zinc involved -  shining a dark light on the crossing over of religious rituals of pilgrims, superstitions which survive in Mecca and a fear we have of a know known future of using DNA to recreate. The Zincographs are sculptered paintings: large wooden frames in which the artist has fixated hair he has collected of a variaty of people in a thick plate of hot wax. They are reminicent of ancient Egyptian wax portraits to a conceptual mind only. The hair he used he collected both from anonymous pilgrims - beware of Mecca barbers selling clones - and from individuals he knows well and managed to convince. As one of them is said to be his wife, there is a question that arises in the mirror of memories. Will Al Jeraibi, when his wife's hair is eventually used to clone, be the first Pygmalion to have succeed in giving true life himself to a women of his perfect imagination? We should grant her that. The artist himself is the object of imagination too. The Foundation Al Mansouria who has supported him against the dragons of misunderstanding and disinterest has put him forward as a 'model for the quest of the young and serious.' We should grant them that too. (September 30, 2009)."
Mahmoud Bakhshi,"Born 1977, Tehran, Iran"
Mahmoud Bakhshi,"By his displacement of prescriptive and symbolic signs endemic to Iranian society, Mahmoud Bakhshi has built up a subversive body of work which opposes the official rhetoric. An element of humour is essential to his art, which allows him to highlight the contradictions, indeed the irrationality which he observes around him. A graduate in sculpture at the University of Fine Arts in Tehran, the young artist born in 1977 explores various mediums: sculpture, installations, but also photography and video. Art for him is about freely translating his thoughts in the most effective way possible. Yet the subject of his “origin” always informs his work, which is made up of transpositions, arrangements and collections."
Mahmoud Refat,"Mahmoud Refat is a sound artist and musician who began his career playing in local funk, acid jazz and post rock bands at different venues in Cairo. In 2000 he began composing soundtracks for dance and theatre and later composed for cinema, television documentaries, experimental videos and short films. At Past of the Coming Days he presented a live musical score for experimental Egyptian film Zawgati wal kalb: My wife and the dog (1971)."
Mai Al Ibrashy,"May al-Ibrashy is a lecturer at the Department of Architecture, the British University in Egypt."
Maider López,Maider López initially brought her interventions to Sharjah as part of the experimental residency Lab Project in 2007. It was during this residency that she first transformed the public square in the Arts Area by introducing the gridlines of a football pitch.
Manal Al Dowayan,"Manal AlDowayan was born and raised in the Eastern Province, the heartland of the Saudi oil industry. She has had a varied and non-structured educational background in photography, studying first in Saudi Arabia, then Dubai, Bahrain, and London. In 2010, AlDowayan was a resident artist at Cuadro Fine Art Gallery in Dubai, and in 2011, she was a resident artist at The Townhouse Gallery in Egypt. She is currently part of the British Council International Cultural Leaders programme."
Manal Al Dowayan,"In her photographic series and more recently her installations, Manal Al-Dowayan examines the Saudi identity.  Questions raised by her work concern the female condition, symbols of community loyalties, technological changes and the relationship to the world that these imply.  Her art combines a graphic yet refined aesthetic: elegant portraits of women, neon writing, what would seem glamourous motifs (jewels, doves, tattoos).  But an incongruous element will always be thrown in to disturb these studied seductive scenes: (workman’s tools in the series I am,) or the direct use of a paint bomb and a stencil (And We Had No Shared Dreams)."
Manal Al-Harbi,http://www.greenboxmuseum.com/sa-manalalharbi.html
